model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s
cmat_tab,0,2014-01-01,60,2314.151996078684,2054.4798043788164,14.725889184257818,2.838963430106164,0.1472292055100094,0.1658379698286121,0.1516282891799447,1392,0.0229060885863528,2426928,11,46.60387873649597
cmat_tab,1,2015-01-01,60,2293.165054845213,2033.455382599228,14.562845897143877,2.729301598762728,0.1453871495406472,0.1639557639686243,0.0864621002971289,1392,0.0286282814400148,2426928,8,40.90554213523865
cmat_tab,2,2016-01-01,60,2278.6668305927205,2022.430027051904,14.13003602163696,2.765061186090769,0.1413106871451198,0.1592143961960598,0.0594854070807299,1392,0.0239609775854016,2426928,8,53.37420725822449
cmat_tab,3,2017-01-01,60,2569.1486334311307,2170.16063260484,14.234830084939569,3.060162312375581,0.1508317440904309,0.1785624360639322,0.1152958399890729,1392,0.0247321795250703,2426928,8,65.83684015274048
cmat_tab,4,2018-01-01,60,2248.5297993076224,1943.166951497396,13.271524885945947,2.488469116348094,0.135768872125908,0.1571045424368927,-0.0232977859721133,1392,0.0259003129848924,2426928,7,68.80152559280396
cmat_tab,5,2019-01-01,60,2316.835110994249,1958.1675927173133,13.423458704599476,2.777596400820844,0.1412566910182738,0.1671299548777939,0.0567364875741654,1392,0.0250916982096803,2426928,10,114.19677209854126
cmat_tab,6,2020-01-01,60,2224.952893188863,1827.674564756196,12.85234250516918,2.5005847304095217,0.1356700663481955,0.1651604243235772,0.0958411429344844,1392,0.0325905184880116,2426928,6,78.18121838569641
cmat_tab,7,2021-01-01,60,1943.2336048487168,1679.4429145900683,12.712599523558335,2.228955462803981,0.128093397856666,0.1482130729850304,0.0444932180886243,1392,0.0321577208551721,2426928,8,116.24603724479675
cmat_tab,8,2022-01-01,60,2247.486380346449,1879.2710886988148,16.71558831156638,2.53202634640492,0.1505346398315556,0.1800296693895458,0.1224505536715333,1392,0.0484043933437579,2426928,9,145.38335919380188
cmat_tab,9,2023-01-01,60,2377.657291620402,1988.987282939341,13.09457826312584,2.642843770170258,0.1377796971561332,0.1647033665777951,0.2666552415975775,1392,0.0193029672016192,2426928,7,124.56699848175047
cmat_tab,10,2024-01-01,60,2108.6449687186946,1841.316024604885,12.545192914195644,2.20778920224529,0.1227849554951622,0.1406113210222999,-0.0631897358695259,1392,0.015578482320437,2426928,9,173.72071957588196
cmat_tab,0,2014-01-01,75,2475.1766672206886,2116.16584901552,14.78569277961386,2.8923465173669944,0.1534163357283393,0.1794436550150074,0.1145566131556783,1776,0.0300537935471621,1637144,6,13.299970865249634
cmat_tab,1,2015-01-01,75,2241.4703402676287,1980.3300632786104,14.458987139997664,2.659846437335511,0.1429772669766581,0.1618312569219516,0.0605533783979721,1776,0.0224559478853167,1637144,21,40.6167414188385
cmat_tab,2,2016-01-01,75,2991.592981796264,2461.2897921725435,16.09104019621827,3.3612566740116754,0.1741245751011849,0.2116410097208268,0.1091067683175043,1776,0.0232860336242162,1637144,7,18.10818314552307
cmat_tab,3,2017-01-01,75,2091.620905000532,1866.869836755701,13.23553198285952,2.588479381627776,0.1307508704732063,0.146491870319164,0.0691217898278455,1776,0.0425332376355494,1637144,10,32.68501949310303
cmat_tab,4,2018-01-01,75,2507.9085669537235,2081.7626040346986,13.789529360168354,2.7112731831783337,0.1465694639457311,0.1765728779885351,0.1053486213860913,1776,0.0317107845718661,1637144,6,25.15947198867798
cmat_tab,5,2019-01-01,75,2181.489043306384,1849.9144045168216,12.938147302573332,2.4793815759426505,0.1350001098710623,0.1591972362666158,0.1277439093817521,1776,0.0311801844829882,1637144,10,43.7958128452301
cmat_tab,6,2020-01-01,75,2044.337280968116,1697.8813289607967,12.23818380088188,2.3138610941177467,0.1274802155527683,0.1534927988164437,0.2141996158853933,1776,0.0356064358645159,1637144,9,45.28654384613037
cmat_tab,7,2021-01-01,75,2091.311231808108,1788.015455091322,15.290266859332045,2.42522213040213,0.1402959951274584,0.1640939901007534,0.1693844811856539,1776,0.0289448448929233,1637144,8,46.20254397392273
cmat_tab,8,2022-01-01,75,2056.0910641008427,1750.2560364319395,15.512130892530834,2.3035598799665324,0.1416615976387323,0.1664151638208464,0.2056479240168368,1776,0.0430929732873388,1637144,12,73.98779392242432
cmat_tab,9,2023-01-01,75,3034.210864012476,2446.082534377639,15.818283672336513,3.185613695899852,0.1722507012687732,0.2136661137873079,0.1673674113669775,1776,0.0195085656140809,1637144,6,41.135721921920776
cmat_tab,10,2024-01-01,75,2355.4591155692224,1941.6943375870987,12.704190619006978,2.42194333515694,0.1327949196263166,0.161092813570127,0.1438296571922379,1776,0.0235543869624751,1637144,8,59.486005783081055
cmat_tab,0,2014-01-01,90,2269.310974838544,1988.983544039439,14.577548017034278,2.753274690700133,0.145748452188334,0.166290245642253,0.0349760764208367,1992,0.0294001944225143,623784,8,36.10063791275024
