model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed,infer_time_s,n_train,n_val,n_test,elapsed_s
cmat_tab,1,2015-02-01,120,882.2166204290656,689.6228250599189,5.365775011968752,0.9526440081121512,0.0544038993437726,0.0695974994926479,0.8969086092821422,2712,0.0030840493320594,163944,50,508.8328685760498,42,0.4225215911865234,23994.0,8590.0,2712.0,532.9034314155579
cmat_tab,2,2016-03-01,120,998.154968808268,747.9321422295584,5.789086688648977,0.91287359355855,0.0592092639140952,0.0790178916487788,0.8676618851179004,2712,0.0070116318553815,164008,49,670.894467830658,42,0.4542646408081054,33448.0,8592.0,2712.0,672.6123569011688
cmat_tab,3,2017-04-01,120,1234.9393651088733,938.655567630554,7.22039667669311,1.1386264067134746,0.0737407449272791,0.0970167885468633,0.8095742060377432,2712,0.0056310030478087,164136,50,882.7467653751373,42,0.4535176753997803,42952.0,8592.0,2712.0,884.5599040985107
cmat_tab,4,2018-05-01,120,1036.9665895801504,820.0017100646432,6.974654914011507,1.0991815223299002,0.0675975065885555,0.0854831825481562,0.8647236862992003,2712,0.0085902825252371,164200,32,659.2438282966614,42,0.4812602996826172,52432.0,8592.0,2712.0,663.6613168716431
cmat_tab,5,2019-06-01,120,1374.8000485820678,1056.103313614837,9.304959397177536,1.446210299087763,0.0906446998311891,0.1179982451764888,0.7020908907467104,2712,0.0088604311543922,164264,27,670.5270066261292,42,0.4612364768981933,61936.0,8615.0,2712.0,672.8724780082703
cmat_tab,6,2020-07-01,120,1343.0073820195585,904.8766519102024,8.27015531769987,1.2521874134120283,0.0779915658020076,0.1157541731088392,0.7097806959201163,2712,0.0095967727167563,164200,36,1055.2957618236542,42,0.4703717231750488,71439.0,8591.0,2712.0,1058.6583969593048
cmat_tab,7,2021-08-01,120,1754.1066468373106,1296.4116459399197,12.746506116884737,1.6565953400328448,0.1153765443963094,0.1561099547728573,0.7131968588057268,2712,0.0116803565270961,164264,24,841.2975475788116,42,0.44732666015625,80942.0,8591.0,2712.0,847.8046033382416
cmat_tab,8,2022-09-01,120,1161.4237051095713,917.4474031791576,6.946860871401293,0.9575005431863788,0.0682972962853641,0.0864595601075824,0.8697803236043978,2712,0.0138862374472149,164264,24,833.1403775215149,42,0.4796221256256103,90445.0,8591.0,2712.0,840.5931842327118
cmat_tab,9,2023-10-01,120,1195.2915252446105,880.5039231742027,5.966379371106751,1.1757516879034644,0.0612410020714685,0.0831351784437553,0.8875459839736005,2712,0.0047445540900635,164072,50,1962.495549917221,42,0.4586498737335205,99924.0,8615.0,2712.0,1964.517132520676
cmat_tab,0,2014-01-01,120,997.807188517215,790.5651668222253,5.769578410163404,1.1155488732209378,0.059515144666241526,0.07511669077493219,0.9219285225051395,2712,0.002999880241851589,163752,44,280.9986958503723,42,0.450366735458374,14492.0,8590.0,2712.0,389.35924911499023
