model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,infer_time_s,n_train,n_val,n_test,elapsed_s,seed
cmat_tab,0,2014-01-01,60,2140.6435931583633,1888.33247039603,13.183370026481663,2.6033592822313065,0.13525475530204054,0.15332693258237157,0.9588253135308779,1272,0.007660944447774772,423976,31,166.3048815727234,0.3097703456878662,15932,8590,1272,215.56688499450684,7
cmat_tab,1,2015-02-01,60,796.6462897880347,636.731656440399,4.855643266642728,0.8921885414130093,0.04770201668588501,0.05968233905733936,0.9370704002920841,1272,0.0037073271293245036,424360,27,212.14194560050964,0.31452345848083496,25434,8590,1272,213.4367332458496,7
cmat_tab,2,2016-03-01,60,1681.9072075657086,1491.137500307095,12.06763669460826,1.87382401430562,0.11870720693987179,0.1338940955485636,0.8985744220261078,1272,0.0041067336927117,424488,50,526.0014026165009,0.3180427551269531,34888,8592,1272,527.417548418045,7
cmat_tab,3,2017-04-01,60,1499.699823295904,1233.8316527552574,9.554485185069348,1.5180186014657093,0.09655014841510128,0.117354940760336,0.7274693514915754,1272,0.00876819081349146,424744,24,316.7194540500641,0.34276556968688965,44392,8592,1272,318.15854024887085,7
cmat_tab,4,2018-05-01,60,982.2126993416434,818.1146531974745,7.053506757087991,1.038140740400457,0.06801751473165382,0.08166051846887264,0.8818797965136489,1272,0.010607515023346146,424872,50,791.2052528858185,0.32534122467041016,53872,8592,1272,792.7100155353546,7
cmat_tab,5,2019-06-01,60,1143.487101875374,828.8976398204107,7.4067802223506725,1.1715542674557213,0.07267354040472336,0.10025514865553817,0.7728101726094189,1272,0.006582314468148441,425000,37,684.8781771659851,0.33142781257629395,63376,8615,1272,686.4986300468445,7
cmat_tab,6,2020-07-01,60,994.5530464800995,732.6790218713148,6.904335024054687,1.084348936154814,0.06564208649599136,0.08910387107188768,0.69352507718547,1272,0.009539350961182668,424872,24,504.63506722450256,0.33327817916870117,72879,8591,1272,506.2757284641266,7
cmat_tab,7,2021-08-01,60,1336.8369007697036,985.6263051542846,10.073122490807023,1.261022570232539,0.09088144385467783,0.1232654476699923,0.5670890749659471,1272,0.009988153159452194,425000,24,567.8585045337677,0.33435893058776855,82382,8591,1272,571.6877205371857,7
cmat_tab,8,2022-09-01,60,901.9370132778517,680.294338394261,5.411507665464368,0.7659328308389952,0.05323497218279263,0.07057914361864187,0.8690321160870002,1272,0.006792022193534054,425000,50,1315.5082671642303,0.3368208408355713,91885,8591,1272,1317.266492843628,7
cmat_tab,9,2023-10-01,60,884.308807280321,717.8266647626768,5.170078619752724,1.0209335771378563,0.05175691412061385,0.06376065036486478,0.9153768912035801,1272,0.005821991684906943,425000,31,895.2479186058044,0.3422102928161621,101364,8615,1272,897.2679023742676,7
