model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,infer_time_s,n_train,n_val,n_test,elapsed_s,seed
cmat_ntl,0,2014-01-01,60,941.8171927728658,819.8366276962952,6.060206304501915,1.1302719876329512,0.058722075802391305,0.06745912382740146,0.9576319408958217,1272,0.004722523406064865,163816,26,178.93401885032654,13.741617679595947,15932,8590,1272,241.23969340324402,123
cmat_ntl,1,2015-02-01,60,984.693659798516,752.3044817462658,5.639124762631291,1.0541292104431406,0.05636038443847275,0.07377028127168477,0.9349295923897321,1272,0.0035073637381779397,164008,46,464.7100510597229,0.3095722198486328,25434,8590,1272,466.2038815021515,123
cmat_ntl,2,2016-03-01,60,922.6581683854401,745.1184396803754,5.924251711544705,0.9363461287020639,0.05931775493248377,0.07345142490664808,0.9281730605074178,1272,0.003788300182336689,164072,50,677.8340244293213,0.31585264205932617,34888,8592,1272,679.4321532249451,123
cmat_ntl,3,2017-04-01,60,1155.5011470128413,846.0050455729166,6.535869942103273,1.0408643620429767,0.06620182950209337,0.0904206072106981,0.7360489806629604,1272,0.005336311325555508,164200,24,408.1355731487274,0.34441065788269043,44392,8592,1272,410.28140330314636,123
cmat_ntl,4,2018-05-01,60,1068.7087682910576,843.2558447879816,6.950299448342346,1.0700434757326145,0.07010773688168526,0.08885174480983006,0.8951523519333296,1272,0.006298603490211388,164264,24,489.29901814460754,0.33156538009643555,53872,8592,1272,490.8919675350189,123
cmat_ntl,5,2019-06-01,60,1131.2997465839446,857.6061428238011,7.7747556399335584,1.2121305311463435,0.07519055632170442,0.09918662316499592,0.7768662502582232,1272,0.007072945676541336,164328,27,643.721848487854,0.3236086368560791,63376,8615,1272,645.5398375988007,123
cmat_ntl,6,2020-07-01,60,1492.0818023520305,1178.4739061271619,11.011482422537973,1.7441156198677652,0.10558168552675548,0.13367840460196648,0.679294435657873,1272,0.010226954708609827,164264,24,654.7752215862274,0.3303859233856201,72879,8591,1272,656.681191444397,123
cmat_ntl,7,2021-08-01,60,2229.163802202767,1849.6816383217865,18.510898808142258,2.3665057248074945,0.17055321787079963,0.205544052419602,0.6323493068357484,1272,0.019564798935515576,164328,24,736.7518966197968,0.337313175201416,82382,8591,1272,738.6556096076965,123
cmat_ntl,8,2022-09-01,60,979.2630106859407,757.2538885920303,5.788862831293639,0.8525803932488288,0.05925727647485646,0.0766301234500228,0.8871334078689701,1272,0.00492179070293841,164328,31,1060.6701216697693,0.3535480499267578,91885,8591,1272,1062.5944566726685,123
cmat_ntl,9,2023-10-01,60,679.4461301686493,539.1257339573506,3.805709481727384,0.7667750323514712,0.03887217580844363,0.04898959140832219,0.9453858091763429,1272,0.004629749042538202,164328,50,1880.9503502845764,0.32825493812561035,101364,8615,1272,1882.9199821949005,123
