model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed,infer_time_s,n_train,n_val,n_test,elapsed_s
cmat_ntl,1,2015-02-01,120,704.5454992259995,561.9132553626752,4.43137193002071,0.7563953910470145,0.0442921477641269,0.0555349656916838,0.9420153454296684,2784,0.002332818011654,622688,35,333.7085361480713,42,0.4207994937896728,24066.0,8662.0,2784.0,368.6001336574554
cmat_ntl,2,2016-03-01,120,907.7126652431676,690.9365209820627,5.527963121878987,0.841716266488741,0.0546059842492741,0.0717382016956979,0.9022440984176998,2784,0.0079296628291726,622816,29,365.92560338974,42,0.4186859130859375,33520.0,8664.0,2784.0,368.4010434150696
cmat_ntl,3,2017-04-01,120,982.6882192063156,678.9149485620959,5.209866732689828,0.8223471973791804,0.0533452719842847,0.0772140463843663,0.8471831111931162,2784,0.0058437488892917,623072,50,794.5456056594849,42,0.4209740161895752,43024.0,8664.0,2784.0,796.8627233505249
cmat_ntl,4,2018-05-01,120,1009.9443647088568,747.2742909398572,6.091464035769852,0.9946246087464862,0.0615544616024245,0.0831911151926136,0.8893235723174884,2784,0.0056538257977282,623200,24,463.744882106781,42,0.5808539390563965,52504.0,8664.0,2784.0,466.8562033176422
cmat_ntl,5,2019-06-01,120,1331.6894963008408,1004.8658187690822,8.731304290353588,1.3560974399648278,0.0863864801580104,0.1144829151316367,0.765816639843059,2784,0.0074083791764946,623328,26,586.4383020401001,42,0.4317412376403808,62008.0,8687.0,2784.0,591.9075226783752
cmat_ntl,6,2020-07-01,120,1476.0168422304569,1025.8614991286706,9.304741939939108,1.4429593691889882,0.0883712037157286,0.1271491182419683,0.702711929661,2784,0.0105902943851441,623200,24,619.3080108165741,42,0.4313411712646484,71511.0,8663.0,2784.0,624.6518814563751
cmat_ntl,7,2021-08-01,120,2262.564998782053,1808.291109633172,17.295866884581837,2.2821013599259827,0.1615872611109132,0.2021807657467133,0.7047802960840326,2784,0.0141480351786208,623328,24,698.9641392230988,42,0.4337539672851562,81014.0,8663.0,2784.0,701.2676725387573
cmat_ntl,8,2022-09-01,120,966.2223759183378,764.3498450969828,5.701560156241815,0.8146444850357315,0.0569267468019903,0.0719616768435947,0.9032814065636,2784,0.0056275741559731,623328,24,780.5622825622559,42,0.4366075992584228,90517.0,8663.0,2784.0,782.5514423847198
cmat_ntl,9,2023-10-01,120,1423.9628159218778,1064.818268874596,7.051441738383295,1.4263348897633734,0.0743703122946454,0.0994541157037049,0.8579818794268317,2784,0.0048718414233435,622944,24,860.4255368709564,42,0.4443345069885254,99996.0,8687.0,2784.0,862.5067508220673
cmat_ntl,0,2014-01-01,120,1839.3257105966688,1447.9215508822738,10.801637219119444,2.083316467246792,0.10870941506808945,0.138095894765033,0.8954634596162911,2784,0.003228868590238267,622304,29,173.62079286575317,42,0.4269266128540039,14564.0,8662.0,2784.0,177.02596759796143
