model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,infer_time_s,n_train,n_val,n_test,elapsed_s,seed
cmat_full,0,2014-01-01,60,898.5766595135335,771.6649085470715,5.875263100012833,1.063859799019857,0.0552717013645464,0.0643619532619373,0.9600687653512948,1272,0.0041801895829848,828456,26,8541.686940193176,26.909425258636475,15932,8590,1272,8734.145721435547,7
cmat_full,1,2015-02-01,60,828.1246148438668,702.6258514212362,5.332046801111498,0.9845195023647532,0.0526386111785338,0.0620406002995265,0.9475562066911148,1272,0.002505835594342,828840,50,23125.02723145485,26.312980890274048,25434,8590,1272,23267.548121213917,7
cmat_full,2,2016-03-01,60,565.6759123606674,437.7958899923841,3.431068756923224,0.5501521166646817,0.0348522703641001,0.0450326060310797,0.9505337344324128,1272,0.0038534378046514,828968,36,12414.400516033173,26.97193932533264,34888,8592,1272,12538.592079639437,7
cmat_full,3,2017-04-01,60,1106.2680980325504,822.1689906090311,6.304114781302167,1.0115381774375356,0.0643366036917046,0.0865680085394287,0.7740999195496843,1272,0.0048346359274108,829224,24,10118.5396027565,26.68907642364502,44392,8592,1272,10243.803196668625,7
cmat_full,4,2018-05-01,60,933.7921599685218,691.0607710544418,5.762336577678089,0.8769166249745686,0.0574543384499406,0.0776348666396895,0.8810533133700461,1272,0.0054060805308701,829352,33,18439.208637714382,32.10387325286865,53872,8592,1272,18577.84657382965,7
cmat_full,5,2019-06-01,60,966.7099681103228,681.5236616794418,6.140935962000134,0.9632576036597114,0.0597525375685311,0.0847562262842679,0.7364691882793258,1272,0.0046698486824795,829480,40,24852.41953587532,26.425517082214355,63376,8615,1272,24975.745528936382,7
cmat_full,6,2020-07-01,60,1175.1220688995104,869.7430158891018,8.185310723749541,1.287200651110045,0.0779219065566534,0.1052813881487085,0.7189786579679408,1272,0.0094791523379239,829352,24,15402.001229524612,27.659613370895386,72879,8591,1272,15534.88607954979,7
cmat_full,7,2021-08-01,60,1487.4900632588117,1036.2396009913032,10.820155822035312,1.3257778512863927,0.095548333709238,0.1371566931214216,0.5981547943979207,1272,0.0103912936799504,829480,24,17147.082385778427,28.28204917907715,82382,8591,1272,17280.52689409256,7
cmat_full,8,2022-09-01,60,984.340980801312,756.9455819759729,5.817324309839916,0.8522332756177156,0.0592331506028576,0.0770274890939511,0.8927853940253284,1272,0.0045495902115362,829480,36,28761.10001015663,27.56279873847961,91885,8591,1272,28890.8310174942,7
cmat_full,9,2023-10-01,60,989.8936768968266,777.4089086760515,5.373363329403095,1.105674805624392,0.056052927674746,0.0713735565125967,0.9256630502442408,1272,0.0036766852523821,829480,50,45920.401508808136,31.566086769104004,101364,8615,1272,46065.91587853432,7
cmat_full,0,2014-01-01,60,1372.1077318968414,1272.4541499299823,9.58311334595739,1.7542754649234096,0.0911415110315563,0.0982793541048539,0.9772718780383292,1272,0.0027259979496227,828456,38,12559.9903922081,26.852383136749268,15932,8590,1272,12757.58564567566,42
cmat_full,1,2015-02-01,60,650.8607039586807,533.478147110849,3.994660422415601,0.7475097007228751,0.0399665749576545,0.0487605223431042,0.9569944203408142,1272,0.0021447103303486,828840,50,22940.923226118088,27.52188801765442,25434,8590,1272,23086.00435638428,42
cmat_full,2,2016-03-01,60,568.8042034209211,464.3113553029186,3.709251462607474,0.5834725285241746,0.0369631265574936,0.0452816445631945,0.9584367552925236,1272,0.003350024208905,828968,35,11938.368771791458,27.17107081413269,34888,8592,1272,12066.840750217438,42
cmat_full,3,2017-04-01,60,1255.8465723015036,898.1716162723566,6.842029159681603,1.1050463957260872,0.0702839829564081,0.0982728662143975,0.7544487936766788,1272,0.0041039557226381,829224,30,12433.499790906906,26.51302981376648,44392,8592,1272,12559.945993423462,42
cmat_full,4,2018-05-01,60,790.0656052895798,581.6259542981034,4.831024464083964,0.738050096610859,0.0483559996880221,0.0656855353179767,0.9031662998667476,1272,0.0041201874165347,829352,46,25072.52189064026,26.75065422058105,53872,8592,1272,25198.870516061783,42
cmat_full,5,2019-06-01,60,1275.715599792744,921.761971335741,8.152465623898198,1.3028076317490251,0.0808154139296608,0.1118482726124791,0.7804012123693163,1272,0.0069880297373014,829480,32,20577.582576274872,32.99168562889099,63376,8615,1272,20717.30604624748,42
cmat_full,6,2020-07-01,60,1548.7139216327248,1140.4556976894162,10.698159539280104,1.687849502450223,0.1021755629926078,0.1387521822881079,0.6312694203314653,1272,0.0119558745559684,829352,34,21808.847097158432,26.84923195838928,72879,8591,1272,21959.066733837128,42
cmat_full,7,2021-08-01,60,1740.473927065892,1229.1234975370971,12.66719404966442,1.5725559107869151,0.1133335398494638,0.1604835246948988,0.573455094485567,1272,0.010261500071027,829480,29,23764.382097244263,32.385828256607056,82382,8591,1272,23926.41047644615,42
cmat_full,8,2022-09-01,60,927.4153169516384,724.6647665155758,5.660139071716552,0.8158888068018603,0.0567070847280066,0.0725728935453871,0.888821111003257,1272,0.0041653410839865,829480,29,23531.66362643242,26.68778967857361,91885,8591,1272,23683.40742301941,42
cmat_full,9,2023-10-01,60,1674.3403707301984,1473.7144399199096,10.3906171315451,2.0959998126073724,0.1062581197515988,0.1207236997879009,0.921249689104874,1272,0.0059786361937531,829480,32,30365.182649850845,27.052767753601078,101364,8615,1272,30504.95786380768,42
cmat_full,0,2014-01-01,60,844.8580007091666,746.7671343725432,5.527485150862493,1.0295343544700617,0.0534883594974042,0.0605142706289025,0.9733193234929848,1272,0.0038367083692854,828456,24,7934.205817222595,26.91644549369812,15932,8590,1272,8126.615117549896,123
cmat_full,1,2015-02-01,60,1005.5615994768556,831.3375666396423,6.202048427495497,1.1648703869201928,0.0622813049647065,0.0753336444195156,0.8940582487567797,1272,0.0028555037784691,828840,35,15948.705497026443,27.50407695770264,25434,8590,1272,16091.860201597214,123
cmat_full,2,2016-03-01,60,724.5273569351489,589.1549440779776,4.657834250660418,0.7403560584673374,0.046901736326737,0.0576785298978707,0.9249079298428596,1272,0.0043600399657238,828968,27,10616.101094722748,32.2929904460907,34888,8592,1272,10755.571082830427,123
cmat_full,3,2017-04-01,60,1203.5531402845063,842.1954084672268,6.456465750620069,1.0361772558414484,0.0659037166865073,0.0941807855718711,0.7576852089822141,1272,0.0050706090944543,829224,24,11377.27906370163,27.78807091712952,44392,8592,1272,11502.711194515228,123
cmat_full,4,2018-05-01,60,758.0003375569578,579.2522448653694,4.941336185161733,0.7350379949960513,0.04815865104541,0.0630196500268944,0.8703068526017571,1272,0.0048933972923636,829352,33,18550.434086322784,31.953721046447757,53872,8592,1272,18689.49865412712,123
