feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
dow_cos,3,763.758499892704,1017.6893551809013,7.603513309223487,253.93085528819734,0.9482311547686841,0.893239652773304,0.001583085234279938,0.054991501995380165
hour_sin,0,763.758499892704,1009.5352781798707,6.283852130080307,245.77677828716674,0.9482311547686841,0.8954203052403784,0.0014413557466883338,0.052810849528305726
hour_cos,1,763.758499892704,915.918736299582,7.788594148565424,152.16023640687797,0.9482311547686841,0.9048973024905698,0.0019133144622077284,0.04333385227811437
load_lag_24h,10,763.758499892704,837.8067886591641,6.63313321503843,74.04828876646013,0.9482311547686841,0.922836153375503,0.0012727062502129796,0.025395001393181182
month_cos,5,763.758499892704,837.2837840562715,4.4729509055106345,73.52528416356756,0.9482311547686841,0.9303290151049592,0.0007198063071978995,0.017902139663724892
load_lag_12h,9,763.758499892704,820.4452962642929,2.754172528281347,56.68679637158891,0.9482311547686841,0.9405023170335308,0.0004227510706800732,0.0077288377351533155
dow_sin,2,763.758499892704,813.6778072084819,4.635599495507219,49.91930731577793,0.9482311547686841,0.9363381137429924,0.0007409638857620173,0.011893041025691775
pca_fold_06,22,763.758499892704,803.5285169978947,2.4389450155053325,39.77001710519073,0.9482311547686841,0.9459505481132057,0.00028431279663818033,0.0022806066554784676
ntl_a2_all_mean,16,763.758499892704,798.7396356810082,1.8918986387517622,34.98113578830419,0.9482311547686841,0.9428789625769916,0.00026306890786552254,0.005352192191692584
pca_fold_04,20,763.758499892704,788.7946940969244,2.116777314277304,25.036194204220465,0.9482311547686841,0.9417409854463277,0.00031570244418383366,0.006490169322356465
pca_fold_07,23,763.758499892704,772.970368289872,0.6860539308144957,9.211868397168018,0.9482311547686841,0.9481775721015155,0.00014192527834680586,5.358266716859461e-05
pca_fold_05,21,763.758499892704,772.3106300003672,1.2991963340904937,8.552130107663174,0.9482311547686841,0.947274623930334,0.00015831306810863469,0.0009565308383501225
solar_rad_lag_10h,13,763.758499892704,771.612818346145,3.1558452752505746,7.85431845344101,0.9482311547686841,0.9421873938221157,0.0004518987147838039,0.006043760946568444
month_sin,4,763.758499892704,767.9316605039397,0.35495423492658895,4.173160611235744,0.9482311547686841,0.9478251222388219,5.5019241857589426e-05,0.0004060325298622658
load_lag_1w,11,763.758499892704,767.3606228541024,3.5232570192889274,3.602122961398436,0.9482311547686841,0.9379258920136986,0.0006211356102472376,0.010305262754985556
pca_fold_03,19,763.758499892704,766.126492935429,2.500808721720361,2.367993042725061,0.9482311547686841,0.9455454556130372,0.0003328311279991658,0.002685699155646981
quarter,8,763.758499892704,765.7477214356379,0.37899026624249527,1.989221542933933,0.9482311547686841,0.9470505885166759,5.875170717532949e-05,0.0011805662520082416
pca_fold_01,17,763.758499892704,764.7354199333979,0.21679340514726153,0.9769200406939262,0.9482311547686841,0.9479337680745907,2.0039912494034942e-05,0.00029738669409340446
day_of_year,6,763.758499892704,764.1187354827323,0.7654015034610441,0.36023559002831007,0.9482311547686841,0.94848626566668,0.00012120928016757937,-0.0002551108979959027
pca_fold_02,18,763.758499892704,763.8808731794963,0.01672710863943135,0.12237328679236725,0.9482311547686841,0.9481974972753591,1.6034567900650095e-06,3.365749332506773e-05
week_of_year,7,763.758499892704,763.3191194046876,0.2574707066658365,-0.4393804880163543,0.9482311547686841,0.9484945120642614,3.6031801762471594e-05,-0.00026335729557724896
humidity_lag_12h,14,763.758499892704,754.8525713138308,0.5065899867706822,-8.905928578873159,0.9482311547686841,0.9486486587260398,8.252470246560161e-05,-0.00041750395735562496
temp_lag_107h,15,763.758499892704,753.5546852572104,0.8360810002416277,-10.203814635493586,0.9482311547686841,0.947572819232556,0.00011209395169968725,0.0006583355361281518
load_lag_1y,12,763.758499892704,736.6424741251997,1.0358135770469759,-27.11602576750431,0.9482311547686841,0.949103810074598,0.00016246408942937457,-0.0008726553059138498
