model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,123,2015-01-01,60,1440,16100,1440,2367.39,1904.46,14.03,2.6032,0.1369,0.1702,0.5756,1440,8758,149.82,0.32,26,151.0
ashtar_seq2seq,1,123,2016-02-01,60,1440,25602,1440,2632.02,1903.62,14.69,2.6475,0.1419,0.1962,0.5082,1440,8758,156.27,0.32,30,158.2
ashtar_seq2seq,2,123,2017-03-01,60,1440,35056,1440,2189.83,1637.96,12.8,2.0704,0.129,0.1725,0.7339,1440,8760,343.48,0.32,31,346.4
ashtar_seq2seq,3,123,2018-04-01,60,1440,44560,1440,1670.35,1207.87,9.77,1.5064,0.0947,0.131,0.5558,1440,8760,319.23,0.32,33,322.4
ashtar_seq2seq,4,123,2019-05-01,60,1440,54040,1440,1407.54,1078.29,9.26,1.3742,0.0891,0.1163,0.5907,1440,8760,370.99,0.32,34,374.1
ashtar_seq2seq,5,123,2020-06-01,60,1440,63544,1440,2147.7,1632.26,14.4,2.2237,0.1435,0.1888,0.2623,1440,8783,340.73,0.32,35,345.6
ashtar_seq2seq,6,123,2021-07-01,60,1440,73047,1440,2259.12,1717.67,16.2,2.5809,0.1533,0.2016,-0.0672,1440,8759,295.17,0.32,34,300.2
ashtar_seq2seq,7,123,2022-08-01,60,1440,82550,1440,2701.04,1966.86,20.42,2.5069,0.1827,0.2509,-0.0031,1440,8759,354.38,0.32,35,358.9
ashtar_seq2seq,8,123,2023-09-01,60,1440,92047,1440,1253.11,946.5,7.61,1.1023,0.0743,0.0984,0.7528,1440,8759,766.02,0.32,35,771.0
ashtar_seq2seq,9,123,2024-10-01,60,1440,101524,1440,2467.2,2046.09,14.17,2.9494,0.1488,0.1794,0.5573,1440,8783,322.29,0.33,35,327.8
ashtar_seq2seq,10,123,2025-11-01,60,1440,111042,1440,1071.95,738.36,4.97,0.9502,0.0497,0.0722,0.882,1440,8760,589.8,0.32,33,598.4
