model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,123,2015-01-01,120,2880,14660,2880,1536.76,1239.98,9.49,1.7397,0.0932,0.1156,0.7773,2880,8758,211.44,0.63,26,212.9
ashtar_seq2seq,1,123,2016-02-01,120,2880,24162,2880,1891.98,1553.75,12.09,2.1403,0.1219,0.1484,0.5813,2880,8758,200.18,0.63,30,202.1
ashtar_seq2seq,2,123,2017-03-01,120,2880,33616,2880,1662.28,1218.24,9.8,1.4936,0.096,0.131,0.6428,2880,8760,487.47,0.63,31,489.9
ashtar_seq2seq,3,123,2018-04-01,120,2880,43120,2880,6007.58,4078.65,31.85,4.9846,0.3207,0.4723,-0.0116,2880,8760,265.32,0.63,33,268.2
ashtar_seq2seq,4,123,2019-05-01,120,2880,52600,2880,2528.19,2158.95,19.01,2.8909,0.1775,0.2079,0.2648,2880,8760,199.97,0.64,34,203.3
ashtar_seq2seq,5,123,2020-06-01,120,2880,62104,2880,2071.62,1793.53,15.33,2.4169,0.1543,0.1782,0.451,2880,8783,276.81,0.63,35,280.7
ashtar_seq2seq,6,123,2021-07-01,120,2880,71607,2880,1139.17,885.14,7.62,1.2382,0.0763,0.0982,0.6577,2880,8759,329.68,0.64,34,333.9
ashtar_seq2seq,7,123,2022-08-01,120,2880,81110,2880,2143.59,1689.26,16.75,2.1547,0.1512,0.1918,0.2232,2880,8759,208.36,0.63,35,213.1
ashtar_seq2seq,8,123,2023-09-01,120,2880,90607,2880,2321.98,1915.39,14.12,2.0389,0.1432,0.1736,0.5414,2880,8759,331.72,0.64,35,336.9
ashtar_seq2seq,9,123,2024-10-01,120,2880,100084,2880,2669.07,2140.06,14.81,2.8859,0.1498,0.1868,0.541,2880,8783,312.63,0.64,32,317.8
