model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,42,2015-01-01,60,1440,16100,1440,2780.26,2354.14,16.83,3.2179,0.1692,0.1999,0.4118,1440,8758,150.62,0.32,26,151.9
ashtar_seq2seq,1,42,2016-02-01,60,1440,25602,1440,1895.32,1579.13,12.14,2.1962,0.1177,0.1413,0.6139,1440,8758,156.78,0.32,30,159.5
ashtar_seq2seq,2,42,2017-03-01,60,1440,35056,1440,2081.67,1727.9,14.01,2.1841,0.1361,0.164,0.7207,1440,8760,147.58,0.31,31,149.8
ashtar_seq2seq,3,42,2018-04-01,60,1440,44560,1440,2560.81,1905.57,15.25,2.3765,0.1494,0.2008,0.4106,1440,8760,320.96,0.32,33,323.7
ashtar_seq2seq,4,42,2019-05-01,60,1440,54040,1440,1702.98,1228.09,10.57,1.5651,0.1015,0.1407,0.5008,1440,8760,259.19,0.32,34,262.3
ashtar_seq2seq,5,42,2020-06-01,60,1440,63544,1440,1436.79,1191.3,10.91,1.623,0.1047,0.1263,0.4014,1440,8783,308.91,0.32,35,312.6
ashtar_seq2seq,6,42,2021-07-01,60,1440,73047,1440,1893.7,1525.29,13.97,2.2919,0.1361,0.169,0.1574,1440,8759,330.63,0.32,34,335.0
ashtar_seq2seq,7,42,2022-08-01,60,1440,82550,1440,1495.21,1114.3,11.43,1.4203,0.1035,0.1389,0.3912,1440,8759,421.58,0.32,35,429.1
ashtar_seq2seq,8,42,2023-09-01,60,1440,92047,1440,1772.6,1450.66,11.0,1.6894,0.1139,0.1392,0.5579,1440,8759,488.67,0.32,35,493.7
ashtar_seq2seq,9,42,2024-10-01,60,1440,101524,1440,1551.1,1203.44,8.41,1.7347,0.0875,0.1128,0.7698,1440,8783,316.89,0.33,35,322.4
ashtar_seq2seq,10,42,2025-11-01,60,1440,111042,1440,1994.95,1683.73,10.97,2.1669,0.1134,0.1344,0.7021,1440,8760,751.12,0.32,33,757.0
