model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s
cmat_ntl,0,2014-01-01,60,2576.433883752911,2205.300039615271,15.101983306852892,3.0403482534161026,0.1579580512976021,0.1845410911277726,0.113336771442924,1272,0.0239207759937819,623912,9,29.02877902984619
cmat_ntl,1,2015-01-01,60,2668.987485358516,2267.1658774321936,15.32955679678078,2.9857919238809467,0.1622480697813374,0.191004139609064,0.122059981350025,1272,0.0315506819033009,623912,6,24.0183744430542
cmat_ntl,2,2016-01-01,60,2949.005706884341,2448.4262234669814,15.892302301104658,3.249874421298991,0.1712287177653253,0.2062363411372939,0.1097334226235125,1272,0.0231619039824342,623912,7,38.73360586166382
cmat_ntl,3,2017-01-01,60,3050.815860223962,2503.314738723467,15.996220444798071,3.598643073695102,0.1736593348206584,0.2116404480632644,0.1629209205695152,1272,0.0271395093021804,623912,6,39.47773003578186
cmat_ntl,0,2014-01-01,75,2484.810290837052,2134.120372476099,14.906600190388614,2.897792728046062,0.1546446384528618,0.1800566612859837,0.0951488829842426,1752,0.024752106588932,1637424,7,23.69984483718872
cmat_ntl,1,2015-01-01,75,2481.99445206259,2131.772134859268,14.776554649738555,2.8513326638172827,0.1537340863107759,0.1789905886641336,0.0718803076306748,1752,0.0266602869641824,1637424,7,24.081289052963257
cmat_ntl,4,2018-01-01,60,2709.4029253294493,2217.154491112667,14.374005533898972,2.8730986574401247,0.1546659796061226,0.1890046269998417,-0.035344158766453,1272,0.02552601304727,623912,6,44.98076677322388
cmat_ntl,2,2016-01-01,75,2199.057214287014,1941.9914773740725,14.014332804004589,2.6393702128732697,0.1373922456410001,0.1555791631858625,0.0590259009621091,1752,0.0260214256462607,1637424,6,27.341684579849243
cmat_ntl,3,2017-01-01,75,2656.985104245148,2211.9485688231307,14.513937034698245,3.058487696365396,0.1549183907296077,0.1860874445020202,0.0346826679196018,1752,0.0257570836421129,1637424,6,33.9667751789093
cmat_ntl,5,2019-01-01,60,1967.92944963122,1746.5975218958824,12.752825574905597,2.478149234541257,0.1258291242262014,0.1417744134420043,0.073656976277184,1272,0.02644798244514,623912,7,60.364367961883545
cmat_ntl,4,2018-01-01,75,2425.6809148720777,2029.1978631563927,13.544061759804135,2.623894891739589,0.1428626874771277,0.1707764928953578,0.0185818471471278,1752,0.0334814049976531,1637424,11,71.19817781448364
cmat_ntl,6,2020-01-01,60,2385.4254556350747,1909.399711944772,13.250119750925112,2.549876632309976,0.1422979699225959,0.1777737775988376,-0.0604662753819162,1272,0.0270364206859513,623912,7,69.21449661254883
cmat_ntl,0,2014-01-01,90,2344.8357955445595,2040.9903450899344,14.762967446982351,2.901495761285936,0.149170618475518,0.1713778836271283,-0.0320609278006821,2064,0.0280537503661916,2427232,7,25.083142518997192
