model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed,infer_time_s,n_train,n_val,n_test,elapsed_s
cmat_ntl,0,2014-01-01,60,1409.48077590407,1178.071002051944,8.146186082586707,1.6929900903171562,0.0841535282193422,0.1006838976963746,0.9649086534996268,1344,0.0048350632840224,113760,24,152.3096957206726,42,,,,,
cmat_ntl,1,2015-02-01,60,983.3917222924678,808.5627003795696,6.034167920341193,1.1329582391513116,0.06057508062456575,0.07367274403757788,0.9345354373188484,1272,0.003670484464467143,164008,32,331.140997171402,42,0.30482959747314453,25434.0,8590.0,1272.0,361.13075017929077
cmat_ntl,2,2016-03-01,60,804.6241733164086,644.1583689563679,5.139023292959033,0.8094755986740297,0.05128047600573781,0.06405491661971027,0.9280953547170855,1272,0.003874138284878819,164072,28,381.75913190841675,42,0.3042023181915283,34888.0,8592.0,1272.0,385.40288496017456
cmat_ntl,3,2017-04-01,60,1182.3784337768807,846.7605794270834,6.488418501240055,1.041793917093782,0.06626095175397395,0.09252381636428754,0.742591623660083,1272,0.0038014545819090705,164200,50,855.4469134807587,42,0.3087270259857178,44392.0,8592.0,1272.0,859.7456743717194
cmat_ntl,4,2018-05-01,60,666.0566815920929,510.34259992875394,4.298413905016533,0.6475955936949186,0.04242954844186831,0.05537551488076255,0.9107065278533879,1272,0.004462125012705182,164264,26,532.6786324977875,42,0.33335447311401367,53872.0,8592.0,1272.0,534.6529242992401
cmat_ntl,5,2019-06-01,60,1134.4305370456682,876.8924568224253,7.835577616628953,1.239389582666233,0.07688148250161353,0.09946111499147535,0.8157761182671596,1272,0.006942644902112618,164328,24,576.5611841678619,42,0.3186821937561035,63376.0,8615.0,1272.0,579.3811731338501
cmat_ntl,6,2020-07-01,60,1438.599400277191,1135.418560675855,10.539902974458522,1.680394649780945,0.10172427644875151,0.12888681598237775,0.7099754266852062,1272,0.010109727107746644,164264,25,686.8171236515045,42,0.32425475120544434,72879.0,8591.0,1272.0,689.9763848781586
cmat_ntl,7,2021-08-01,60,2230.444661938081,1742.7697347005208,17.547555208586736,2.229721303787158,0.1606952137615933,0.20566215639218463,0.557097920663196,1272,0.02272695420763445,164328,24,765.9154415130615,42,0.38642287254333496,82382.0,8591.0,1272.0,771.2997257709503
cmat_ntl,8,2022-09-01,60,988.6202274173529,794.4962749361242,6.197590042749276,0.8945110176709886,0.06217159942178601,0.07736235234609279,0.8720841467776345,1272,0.004909713637937625,164328,24,984.1197597980499,42,0.3267674446105957,91885.0,8591.0,1272.0,986.3000359535217
cmat_ntl,9,2023-10-01,60,1264.7910512026672,1035.4127005331172,7.308010265187652,1.4726223530839868,0.07465558031144318,0.091194274371599,0.862974377914601,1272,0.004904762136478288,164328,27,1050.1425230503082,42,0.35059452056884766,101364.0,8615.0,1272.0,1057.2134354114532
