model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed,infer_time_s,n_train,n_val,n_test,elapsed_s
cmat_tab,0,2014-01-01,120,1012.1097717869465,821.5948994954427,6.224578962522424,1.1821373764910537,0.0616850414945839,0.0759888277155716,0.9326269501143212,2784,0.003512998014032,622176,26,175.85568618774414,42,,,,,
cmat_tab,1,2015-02-01,120,882.2166204290656,689.6228250599189,5.365775011968752,0.9526440081121512,0.05440389934377264,0.06959749949264796,0.8969086092821422,2712,0.003084049332059477,163944,50,508.8328685760498,42,0.42252159118652344,23994.0,8590.0,2712.0,532.9034314155579
cmat_tab,2,2016-03-01,120,998.1549688082681,747.9321422295584,5.789086688648977,0.91287359355855,0.05920926391409527,0.07901789164877883,0.8676618851179004,2712,0.00701163185538151,164008,49,670.894467830658,42,0.45426464080810547,33448.0,8592.0,2712.0,672.6123569011688
cmat_tab,3,2017-04-01,120,1234.9393651088733,938.6555676305541,7.22039667669311,1.1386264067134746,0.0737407449272791,0.09701678854686333,0.8095742060377432,2712,0.005631003047808742,164136,50,882.7467653751373,42,0.4535176753997803,42952.0,8592.0,2712.0,884.5599040985107
cmat_tab,4,2018-05-01,120,1036.9665895801504,820.0017100646432,6.974654914011507,1.0991815223299002,0.06759750658855554,0.08548318254815625,0.8647236862992003,2712,0.00859028252523711,164200,32,659.2438282966614,42,0.4812602996826172,52432.0,8592.0,2712.0,663.6613168716431
cmat_tab,5,2019-06-01,120,1374.8000485820678,1056.103313614837,9.304959397177537,1.446210299087763,0.09064469983118913,0.1179982451764888,0.7020908907467104,2712,0.008860431154392211,164264,27,670.5270066261292,42,0.46123647689819336,61936.0,8615.0,2712.0,672.8724780082703
cmat_tab,6,2020-07-01,120,1343.0073820195585,904.8766519102023,8.27015531769987,1.2521874134120285,0.07799156580200767,0.11575417310883926,0.7097806959201163,2712,0.0095967727167563,164200,36,1055.2957618236542,42,0.47037172317504883,71439.0,8591.0,2712.0,1058.6583969593048
cmat_tab,7,2021-08-01,120,1754.1066468373106,1296.4116459399197,12.746506116884735,1.6565953400328448,0.11537654439630941,0.15610995477285733,0.7131968588057268,2712,0.01168035652709616,164264,24,841.2975475788116,42,0.44732666015625,80942.0,8591.0,2712.0,847.8046033382416
cmat_tab,8,2022-09-01,120,1161.4237051095713,917.4474031791575,6.946860871401293,0.9575005431863789,0.06829729628536414,0.08645956010758243,0.8697803236043978,2712,0.013886237447214967,164264,24,833.1403775215149,42,0.47962212562561035,90445.0,8591.0,2712.0,840.5931842327118
cmat_tab,9,2023-10-01,120,1195.2915252446103,880.5039231742027,5.966379371106751,1.1757516879034644,0.06124100207146857,0.08313517844375537,0.8875459839736005,2712,0.004744554090063536,164072,50,1962.495549917221,42,0.4586498737335205,99924.0,8615.0,2712.0,1964.5171325206757
