model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s
cmat_tab,0,2014-01-01,60,2278.380859407588,2011.777064531699,15.511557438041988,2.7799550541012423,0.1441690194486075,0.1632745199367949,0.1220972300687574,1392,0.0289932572942254,2426928,9,43.73361802101135
cmat_tab,0,2014-01-01,90,2296.6067062435013,2001.0019139056224,14.604075545613185,2.769911265535153,0.1466291325796186,0.1682904183513451,0.0412102282074417,1992,0.0323265197652357,1637288,7,38.68629622459412
cmat_tab,1,2015-01-01,60,2340.6551127949847,2064.6810807852908,14.564685095782565,2.771212696842867,0.1476197115582536,0.1673511884347426,0.1426937979617553,1392,0.0224306849375312,2426928,7,38.96150875091553
cmat_tab,0,2014-01-01,135,2296.047992989234,1935.775278409322,14.30359705714244,2.6650997648447228,0.1472942216124985,0.1747075735930424,0.1565081507399782,3072,0.0373261817402057,623784,6,40.08225917816162
cmat_tab,0,2014-01-01,105,2253.814774775302,1953.3664156336365,14.443383538395995,2.7201071283017715,0.1452764333140755,0.167621481156525,0.1608579248916912,2352,0.0317324478903578,1637288,8,46.13995957374573
cmat_tab,0,2014-01-01,75,2468.0382721188867,2130.2830151481808,14.909123432054225,2.979538347342627,0.1540208979418068,0.1784408306893696,0.0913364912008868,1704,0.0243763153454946,2426976,11,51.55189824104309
cmat_tab,1,2015-01-01,90,2203.802864282909,1925.6121179052143,14.17241214463666,2.561459229709445,0.1414719119246149,0.1619101800492473,0.162883333398433,1992,0.0270091671496629,1637288,7,45.17798137664795
cmat_tab,2,2016-01-01,60,2219.5491174420417,1981.690624017825,14.141039435365016,2.7093623779405336,0.1384641545286023,0.1550837392358543,0.0645541498898072,1392,0.024238936134009,2426928,8,48.82728314399719
cmat_tab,0,2014-01-01,120,2746.9281851539013,2260.336737978775,19.137762315284,3.1895107537910623,0.1701621493089105,0.2067936144775442,0.1345072282353543,2712,0.0404287339136226,164520,16,93.37829351425172
cmat_tab,1,2015-01-01,105,2267.0211879150743,1928.7425043015253,14.193631240837028,2.633158878721121,0.144170519086604,0.1694563274844232,0.100437779247817,2352,0.0295629833790439,1637288,7,50.93352437019348
cmat_tab,1,2015-01-01,75,2186.70064149962,1943.7393540933097,14.763967152537882,2.641559070273509,0.1400159422169348,0.1575174932900222,0.0518356297079999,1704,0.0241282763651243,2426976,10,58.80175566673279
cmat_tab,1,2015-01-01,135,2116.132703758164,1797.4758876164751,13.877742064892082,2.4529526353998143,0.1377202194974825,0.1621352822895605,0.1465653842860257,3072,0.037352384635867,623784,9,76.42380142211914
