model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,2,7,2017-03-01,120,2880,33616,2880,1790.87,1349.45,11.2,1.6545,0.1063,0.1411,0.5775,2880,8760,438.78,0.84,31,441.4
ashtar_seq2seq,3,7,2018-04-01,120,2880,43120,2880,1627.27,1282.0,10.13,1.5667,0.1008,0.1279,0.5709,2880,8760,476.02,0.63,33,479.1
ashtar_seq2seq,4,7,2019-05-01,120,2880,52600,2880,1072.66,855.97,7.13,1.1462,0.0704,0.0882,0.643,2880,8760,228.31,0.64,34,231.6
ashtar_seq2seq,5,7,2020-06-01,120,2880,62104,2880,2038.8,1519.72,13.73,2.048,0.1308,0.1754,0.124,2880,8783,615.0,0.64,35,618.8
ashtar_seq2seq,6,7,2021-07-01,120,2880,71607,2880,2213.02,1757.4,15.67,2.4585,0.1515,0.1908,0.1571,2880,8759,327.54,0.62,34,331.7
ashtar_seq2seq,7,7,2022-08-01,120,2880,81110,2880,2537.12,2032.13,19.54,2.592,0.1819,0.2271,0.212,2880,8759,279.27,0.63,35,284.0
ashtar_seq2seq,8,7,2023-09-01,120,2880,90607,2880,2575.68,2014.9,14.2,2.1448,0.1507,0.1926,0.5095,2880,8759,220.93,0.64,35,226.0
ashtar_seq2seq,9,7,2024-10-01,120,2880,100084,2880,2068.44,1783.54,12.6,2.4052,0.1248,0.1448,0.7215,2880,8783,233.34,0.63,32,238.5
ashtar_seq2seq,0,42,2015-01-01,120,2880,14660,2880,6177.56,5199.95,42.62,7.2956,0.3911,0.4646,-0.0359,2880,8758,149.02,0.75,26,150.7
ashtar_seq2seq,1,42,2016-02-01,120,2880,24162,2880,3598.58,2967.14,24.74,4.0872,0.2328,0.2823,-0.0705,2880,8758,131.31,0.63,30,133.5
ashtar_seq2seq,2,42,2017-03-01,120,2880,33616,2880,4197.15,3103.58,25.46,3.8051,0.2445,0.3307,-0.058,2880,8760,264.88,0.62,31,269.2
ashtar_seq2seq,3,42,2018-04-01,120,2880,43120,2880,1953.18,1539.41,12.24,1.8813,0.121,0.1536,0.1864,2880,8760,263.45,0.63,33,266.3
ashtar_seq2seq,4,42,2019-05-01,120,2880,52600,2880,2904.56,2460.28,21.31,3.2944,0.2023,0.2389,0.3609,2880,8760,284.49,0.63,34,291.2
ashtar_seq2seq,5,42,2020-06-01,120,2880,62104,2880,1364.7,1029.53,9.36,1.3874,0.0886,0.1174,0.4426,2880,8783,303.04,0.62,35,309.7
ashtar_seq2seq,6,42,2021-07-01,120,2880,71607,2880,1757.51,1230.27,11.34,1.7211,0.1061,0.1515,0.2508,2880,8759,416.98,0.62,34,421.8
ashtar_seq2seq,7,42,2022-08-01,120,2880,81110,2880,2378.68,1864.01,17.92,2.3776,0.1668,0.2129,0.3807,2880,8759,314.22,0.63,35,319.5
ashtar_seq2seq,8,42,2023-09-01,120,2880,90607,2880,2167.61,1754.64,12.38,1.8678,0.1312,0.1621,0.6632,2880,8759,548.98,0.62,35,556.4
ashtar_seq2seq,9,42,2024-10-01,120,2880,100084,2880,2117.91,1733.0,11.67,2.337,0.1213,0.1482,0.6753,2880,8783,579.86,0.63,32,585.6
ashtar_seq2seq,0,123,2015-01-01,120,2880,14660,2880,1536.76,1239.98,9.49,1.7397,0.0932,0.1156,0.7773,2880,8758,211.44,0.63,26,212.9
ashtar_seq2seq,1,123,2016-02-01,120,2880,24162,2880,1891.98,1553.75,12.09,2.1403,0.1219,0.1484,0.5813,2880,8758,200.18,0.63,30,202.1
ashtar_seq2seq,2,123,2017-03-01,120,2880,33616,2880,1662.28,1218.24,9.8,1.4936,0.096,0.131,0.6428,2880,8760,487.47,0.63,31,489.9
ashtar_seq2seq,3,123,2018-04-01,120,2880,43120,2880,6007.58,4078.65,31.85,4.9846,0.3207,0.4723,-0.0116,2880,8760,265.32,0.63,33,268.2
ashtar_seq2seq,4,123,2019-05-01,120,2880,52600,2880,2528.19,2158.95,19.01,2.8909,0.1775,0.2079,0.2648,2880,8760,199.97,0.64,34,203.3
ashtar_seq2seq,5,123,2020-06-01,120,2880,62104,2880,2071.62,1793.53,15.33,2.4169,0.1543,0.1782,0.451,2880,8783,276.81,0.63,35,280.7
ashtar_seq2seq,6,123,2021-07-01,120,2880,71607,2880,1139.17,885.14,7.62,1.2382,0.0763,0.0982,0.6577,2880,8759,329.68,0.64,34,333.9
ashtar_seq2seq,7,123,2022-08-01,120,2880,81110,2880,2143.59,1689.26,16.75,2.1547,0.1512,0.1918,0.2232,2880,8759,208.36,0.63,35,213.1
ashtar_seq2seq,8,123,2023-09-01,120,2880,90607,2880,2321.98,1915.39,14.12,2.0389,0.1432,0.1736,0.5414,2880,8759,331.72,0.64,35,336.9
ashtar_seq2seq,9,123,2024-10-01,120,2880,100084,2880,2669.07,2140.06,14.81,2.8859,0.1498,0.1868,0.541,2880,8783,312.63,0.64,32,317.8
