model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,2,7,2017-03-01,120,2880,33616,2880,11102.29,10581.51,87.33,12.9733,0.8336,0.8747,-0.1017,2880,8760,167.14,0.62,19,168.9
ashtar_seq2seq,3,7,2018-04-01,120,2880,43120,2880,3088.01,2501.44,19.6,3.057,0.1967,0.2428,0.398,2880,8760,180.27,0.63,19,182.2
ashtar_seq2seq,4,7,2019-05-01,120,2880,52600,2880,2045.04,1637.6,14.4,2.1928,0.1347,0.1682,0.297,2880,8760,558.86,0.63,19,561.1
ashtar_seq2seq,5,7,2020-06-01,120,2880,62104,2880,1308.67,986.4,8.78,1.3293,0.0849,0.1126,0.4118,2880,8783,453.2,0.64,19,455.7
ashtar_seq2seq,6,7,2021-07-01,120,2880,71607,2880,2227.54,1817.79,16.24,2.5429,0.1567,0.1921,0.0362,2880,8759,261.02,0.62,19,263.7
ashtar_seq2seq,7,7,2022-08-01,120,2880,81110,2880,2599.31,1997.02,19.08,2.5472,0.1787,0.2326,0.2403,2880,8759,379.22,0.63,19,382.2
ashtar_seq2seq,8,7,2023-09-01,120,2880,90607,2880,2307.57,1826.81,13.12,1.9446,0.1366,0.1725,0.5672,2880,8759,403.62,0.62,19,406.8
ashtar_seq2seq,9,7,2024-10-01,120,2880,100084,2880,2819.65,2285.0,15.25,3.0814,0.1599,0.1973,0.5976,2880,8783,756.49,0.64,19,759.9
ashtar_seq2seq,0,42,2015-01-01,120,2880,14660,2880,2273.52,1867.32,14.37,2.6199,0.1404,0.171,0.5489,2880,8758,179.95,0.63,18,181.2
ashtar_seq2seq,1,42,2016-02-01,120,2880,24162,2880,6625.63,5330.71,44.55,7.343,0.4182,0.5197,0.0527,2880,8758,163.75,0.63,19,165.2
ashtar_seq2seq,2,42,2017-03-01,120,2880,33616,2880,1520.79,1169.62,9.54,1.434,0.0921,0.1198,0.6199,2880,8760,259.63,0.63,19,261.4
ashtar_seq2seq,3,42,2018-04-01,120,2880,43120,2880,2110.79,1658.78,13.68,2.0272,0.1304,0.166,0.4763,2880,8760,256.45,0.62,19,258.4
ashtar_seq2seq,4,42,2019-05-01,120,2880,52600,2880,2632.48,2066.41,17.94,2.767,0.1699,0.2165,0.1522,2880,8760,164.68,0.62,19,166.9
ashtar_seq2seq,5,42,2020-06-01,120,2880,62104,2880,1843.85,1504.23,13.42,2.0271,0.1294,0.1586,0.27,2880,8783,295.05,0.62,19,297.5
ashtar_seq2seq,6,42,2021-07-01,120,2880,71607,2880,1880.75,1439.97,12.99,2.0144,0.1242,0.1622,0.318,2880,8759,346.48,0.63,19,349.2
ashtar_seq2seq,7,42,2022-08-01,120,2880,81110,2880,1972.36,1492.53,14.37,1.9038,0.1336,0.1765,0.3971,2880,8759,545.13,0.64,19,548.1
ashtar_seq2seq,8,42,2023-09-01,120,2880,90607,2880,3752.47,3020.7,21.17,3.2155,0.2259,0.2806,0.1517,2880,8759,359.03,0.63,19,362.2
ashtar_seq2seq,9,42,2024-10-01,120,2880,100084,2880,2859.28,2267.99,15.31,3.0585,0.1587,0.2001,0.4591,2880,8783,339.08,0.63,19,342.5
ashtar_seq2seq,0,123,2015-01-01,120,2880,14660,2880,16614.8,16368.22,129.19,22.9648,1.2309,1.2495,0.0628,2880,8758,221.83,0.64,18,223.1
ashtar_seq2seq,1,123,2016-02-01,120,2880,24162,2880,3220.04,2728.99,22.74,3.7592,0.2141,0.2526,-0.1302,2880,8758,132.21,0.64,19,133.7
ashtar_seq2seq,2,123,2017-03-01,120,2880,33616,2880,2010.63,1483.86,11.92,1.8193,0.1169,0.1584,0.5355,2880,8760,144.57,0.64,19,146.3
ashtar_seq2seq,3,123,2018-04-01,120,2880,43120,2880,9762.82,7647.82,62.17,9.3465,0.6013,0.7676,0.0431,2880,8760,332.54,0.62,19,334.5
ashtar_seq2seq,4,123,2019-05-01,120,2880,52600,2880,1948.62,1472.49,12.55,1.9717,0.1211,0.1602,0.2892,2880,8760,551.25,0.63,19,553.4
ashtar_seq2seq,5,123,2020-06-01,120,2880,62104,2880,1258.48,994.15,8.73,1.3397,0.0855,0.1083,0.418,2880,8783,442.64,0.62,19,445.1
ashtar_seq2seq,6,123,2021-07-01,120,2880,71607,2880,1295.36,995.37,8.75,1.3924,0.0858,0.1117,0.4695,2880,8759,285.83,0.63,19,288.5
ashtar_seq2seq,7,123,2022-08-01,120,2880,81110,2880,1883.72,1327.68,11.89,1.6935,0.1188,0.1686,0.3473,2880,8759,504.28,0.62,19,507.2
ashtar_seq2seq,8,123,2023-09-01,120,2880,90607,2880,3368.99,2553.42,18.28,2.7181,0.1909,0.2519,0.3256,2880,8759,320.9,0.62,19,324.0
ashtar_seq2seq,9,123,2024-10-01,120,2880,100084,2880,1602.21,1309.93,8.88,1.7665,0.0917,0.1121,0.8175,2880,8783,718.72,0.64,19,722.1
ashtar_seq2seq,0,7,2015-01-01,180,4320,13220,4320,3103.38,2648.88,20.44,3.617,0.2048,0.2399,-0.1458,4320,8758,132.64,1.39,18,134.8
ashtar_seq2seq,1,7,2016-02-01,180,4320,22722,4320,1837.26,1436.28,11.62,1.9829,0.113,0.1446,0.5604,4320,8758,234.08,1.05,19,236.0
ashtar_seq2seq,2,7,2017-03-01,180,4320,32176,4320,2077.25,1679.61,13.97,2.1466,0.1338,0.1654,0.529,4320,8760,233.08,0.89,19,235.0
ashtar_seq2seq,3,7,2018-04-01,180,4320,41680,4320,1136.67,911.65,7.0,1.1563,0.072,0.0897,0.7527,4320,8760,276.85,0.89,19,279.0
ashtar_seq2seq,4,7,2019-05-01,180,4320,51160,4320,2315.71,1842.36,15.39,2.4741,0.1492,0.1875,0.2406,4320,8760,272.48,0.89,19,274.9
ashtar_seq2seq,5,7,2020-06-01,180,4320,60664,4320,1989.62,1609.59,14.13,2.2618,0.1339,0.1655,0.5844,4320,8783,350.53,0.89,19,353.2
ashtar_seq2seq,6,7,2021-07-01,180,4320,70167,4320,1936.03,1462.5,12.38,2.0593,0.1201,0.159,0.4249,4320,8759,374.4,0.89,19,377.4
ashtar_seq2seq,7,7,2022-08-01,180,4320,79670,4320,3121.59,2473.27,21.88,3.3237,0.2102,0.2653,0.2648,4320,8759,363.77,0.9,19,367.0
ashtar_seq2seq,8,7,2023-09-01,180,4320,89165,4320,2320.58,1921.4,13.5,2.174,0.1404,0.1695,0.4956,4320,8759,282.78,0.9,19,286.2
ashtar_seq2seq,9,7,2024-10-01,180,4320,98644,4320,3009.67,2490.14,16.79,3.29,0.1756,0.2123,0.348,4320,8783,261.42,0.9,19,265.1
ashtar_seq2seq,0,42,2015-01-01,180,4320,13220,4320,5088.87,4189.79,35.22,5.7211,0.3239,0.3934,-0.3752,4320,8758,154.74,1.21,18,156.7
ashtar_seq2seq,1,42,2016-02-01,180,4320,22722,4320,2332.95,1975.17,15.35,2.7269,0.1554,0.1836,0.2938,4320,8758,130.78,0.92,19,132.5
ashtar_seq2seq,2,42,2017-03-01,180,4320,32176,4320,2387.99,1968.95,16.49,2.5164,0.1568,0.1902,0.1477,4320,8760,308.59,0.91,19,310.6
ashtar_seq2seq,3,42,2018-04-01,180,4320,41680,4320,1740.13,1347.32,10.6,1.7089,0.1063,0.1373,0.4849,4320,8760,512.65,0.9,19,514.8
ashtar_seq2seq,4,42,2019-05-01,180,4320,51160,4320,2088.87,1670.64,14.51,2.2435,0.1353,0.1691,0.1799,4320,8760,191.02,0.9,19,193.5
ashtar_seq2seq,5,42,2020-06-01,180,4320,60664,4320,2315.84,1898.2,16.25,2.6673,0.1579,0.1926,0.0973,4320,8783,586.96,0.89,19,589.6
ashtar_seq2seq,6,42,2021-07-01,180,4320,70167,4320,2243.19,1738.07,15.12,2.4474,0.1428,0.1843,0.3019,4320,8759,568.08,0.91,19,571.1
ashtar_seq2seq,7,42,2022-08-01,180,4320,79670,4320,2175.59,1627.59,14.97,2.1873,0.1383,0.1849,0.3818,4320,8759,433.16,0.9,19,436.3
ashtar_seq2seq,8,42,2023-09-01,180,4320,89165,4320,2267.07,1717.49,11.87,1.9433,0.1255,0.1656,0.6391,4320,8759,644.4,0.92,19,647.9
ashtar_seq2seq,9,42,2024-10-01,180,4320,98644,4320,1535.8,1249.77,8.68,1.6512,0.0882,0.1083,0.7571,4320,8783,453.22,0.91,19,456.9
ashtar_seq2seq,0,123,2015-01-01,180,4320,13220,4320,3003.46,2563.79,19.65,3.5008,0.1982,0.2322,-0.1235,4320,8758,134.46,0.9,18,135.9
ashtar_seq2seq,1,123,2016-02-01,180,4320,22722,4320,3822.52,2938.59,23.81,4.057,0.2313,0.3008,-0.1265,4320,8758,171.87,0.9,19,173.6
ashtar_seq2seq,2,123,2017-03-01,180,4320,32176,4320,10754.99,6981.63,57.21,8.9227,0.556,0.8565,0.2458,4320,8760,255.72,0.89,19,257.7
ashtar_seq2seq,3,123,2018-04-01,180,4320,41680,4320,1478.66,1199.68,9.44,1.5216,0.0947,0.1167,0.7109,4320,8760,304.03,0.9,19,306.3
ashtar_seq2seq,4,123,2019-05-01,180,4320,51160,4320,1851.79,1544.98,13.1,2.0748,0.1251,0.1499,0.417,4320,8760,546.66,0.89,19,549.1
ashtar_seq2seq,5,123,2020-06-01,180,4320,60664,4320,1186.91,891.69,7.72,1.253,0.0742,0.0987,0.6902,4320,8783,410.67,0.89,19,413.3
ashtar_seq2seq,6,123,2021-07-01,180,4320,70167,4320,1808.56,1405.36,12.06,1.9789,0.1154,0.1486,0.6177,4320,8759,569.55,0.91,19,572.5
ashtar_seq2seq,7,123,2022-08-01,180,4320,79670,4320,1968.4,1482.97,12.18,1.9929,0.126,0.1673,0.4483,4320,8759,600.3,0.89,19,603.5
ashtar_seq2seq,8,123,2023-09-01,180,4320,89165,4320,2823.16,2240.62,16.03,2.5351,0.1637,0.2062,0.4735,4320,8759,245.77,0.9,19,249.2
ashtar_seq2seq,9,123,2024-10-01,180,4320,98644,4320,2054.99,1706.1,11.58,2.2541,0.1203,0.145,0.7084,4320,8783,744.6,0.87,19,748.2
