model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed
cmat_tab,0,2014-01-01,60,1078.3860664854626,916.856975051592,6.475998146961551,1.264029589015374,0.0656713093439336,0.0772410821877312,0.94696133078103,1272,0.0149902792623245,425512,35,5125.828510046005,42
cmat_tab,1,2015-01-01,60,576.7639080877738,471.84887081122247,3.5241949660879355,0.6214113231785916,0.0337675197389319,0.041275687737842,0.9770851914285325,1272,0.0149928677418584,425512,34,213.48653268814087,42
cmat_tab,2,2016-01-01,60,814.44674092478,675.4265290266313,4.775737691075465,0.8965152305231431,0.0472354108126444,0.0569576774664776,0.9438100339880868,1272,0.0140542190849643,425512,25,207.94108271598816,42
cmat_tab,3,2017-01-01,60,944.3897297559612,801.0077579906151,5.77303064898497,1.1514896531703738,0.0555673133254393,0.0655139722320783,0.9271763112748844,1272,0.014489043052187,425512,24,253.51325154304504,42
cmat_tab,4,2018-01-01,60,1637.2442783548984,1265.5536241831269,8.757069761949264,1.6399670988801005,0.0882834695610823,0.1142121539934727,0.9111605144071806,1272,0.0182637646171129,425512,24,299.84334325790405,42
cmat_tab,5,2019-01-01,60,847.528809657202,649.0651179859474,4.584549346921177,0.9209220814411474,0.046760226290311,0.0610580322820347,0.9626759725170038,1272,0.0193022704478976,425512,24,343.518506526947,42
cmat_tab,6,2020-01-01,60,1119.4904183781823,798.0546237777614,6.310046426456344,1.0657490015043545,0.0594750026097213,0.0834299978608253,0.8644563797697253,1272,0.0221108998896347,425512,24,393.3482253551483,42
cmat_tab,7,2021-01-01,60,954.6865916107776,580.5459583210495,4.746074348534603,0.7416624936784978,0.0443949833674406,0.0730059261427853,0.8813892368769437,1272,0.0219004443521199,425512,24,439.17239141464233,42
cmat_tab,8,2022-01-01,60,2199.3777226330494,1751.5653905328716,15.179309712273014,2.277274301723032,0.1402926141541224,0.1761603945181059,0.7458986975160858,1272,0.0195141372540931,425512,24,492.8189852237701,42
cmat_tab,9,2023-01-01,60,1132.6939208976055,902.7893342791864,6.044286376054296,1.2110327487640726,0.0624451272170425,0.0783474209350242,0.9152469789766569,1272,0.0187782693695844,425512,24,539.6478669643402,42
cmat_tab,10,2024-01-01,60,1655.332523158601,1440.0506177218456,9.384066668570872,1.694071821876406,0.0959667724080505,0.1103134275661202,0.9089814113687994,1272,0.0127913837812633,425512,26,635.1098356246948,42
cmat_tab,0,2014-01-01,120,819.5717793698442,672.0970676465967,5.248494618814045,0.9670350494909384,0.0504607995152219,0.0615331463830481,0.948686685764915,2784,0.012292544175338,623712,24,2967.0866742134094,42
cmat_tab,1,2015-01-01,120,846.7194421528541,675.6129094266344,5.170862502453037,0.9326988415202708,0.0510387760113989,0.0639649174098988,0.9299769809843116,2784,0.0139048503165397,623712,30,220.7115254402161,42
cmat_tab,2,2016-01-01,120,1285.656264426931,1070.3493690929197,7.733028967856577,1.3871712383625234,0.0796513856272147,0.0956737172542995,0.9106012125153332,2784,0.0154161085717051,623712,27,263.9687843322754,42
cmat_tab,3,2017-01-01,120,1398.763769291218,1184.938152093997,8.613977572548585,1.5251698334795802,0.0857852046767652,0.1012654002498285,0.8805478235670324,2784,0.0176093349047692,623712,32,389.9788687229157,42
cmat_tab,4,2018-01-01,120,1372.797179994741,1075.2647754186871,8.093348883161712,1.3852020652145942,0.0792415740639777,0.1011682070316264,0.8420472042937905,2784,0.0172268153955245,623712,24,355.85371232032776,42
cmat_tab,5,2019-01-01,120,1377.5750994739772,995.9901213842976,8.396556668985825,1.4131135831232315,0.0781091790068699,0.10803446513171,0.8149489556327955,2783,0.0173080335199365,623712,29,499.7726204395294,42
cmat_tab,6,2020-01-01,120,1288.3158743796275,864.0336296473567,7.435245584380766,1.1861764541232485,0.0685973704106968,0.1022819925155797,0.8291720023317604,2783,0.0225791673326645,623712,24,467.2159278392792,42
cmat_tab,7,2021-01-01,120,2665.721598583563,2072.0332745337205,19.24971241787929,2.57563377321008,0.1721031495529035,0.2214149205932387,0.6465912137956878,2783,0.025033265139179,623712,24,528.5199043750763,42
cmat_tab,8,2022-01-01,120,1589.0919439997142,1199.5308969917803,10.529310928900346,1.541541072365985,0.0991113279998919,0.131298837969674,0.5992936762118884,2783,0.0452859057663386,623712,29,716.8876128196716,42
cmat_tab,9,2023-01-01,120,1360.940884805553,1149.0052961760016,8.253910832306879,1.4986515204879904,0.0849251484628757,0.1005897075287328,0.9254155004666496,2783,0.0177583074939481,623712,28,749.3943903446198,42
cmat_tab,10,2024-01-01,120,1034.9764944635149,856.2102513806574,6.2090373770466085,1.145807200262246,0.0622314212995671,0.0752245819975278,0.9063375153666604,2784,0.0114110994977903,623712,26,761.675666809082,42
cmat_tab,0,2014-01-01,180,697.3809120465417,549.2459415737145,4.208489596973071,0.7518956668228501,0.04253727306769538,0.05400983428830833,0.9528073077975692,4152,0.010905960063211149,164520,43,5865.132892847061,42
cmat_tab,1,2015-01-01,180,1176.2144391869197,964.6508720853654,7.438893007371131,1.2989748348890784,0.0747027411512128,0.0910862627418262,0.9003369297909583,4152,0.0132316200505789,164520,29,209.17025876045227,42
cmat_tab,2,2016-01-01,180,1409.9230046223597,1146.9591075037256,8.575986795688916,1.445168244395818,0.0870190382605619,0.1069699373595855,0.8514616573214493,4152,0.0273661984216973,164520,24,230.9950385093689,42
cmat_tab,3,2017-01-01,180,1202.060147796669,982.9396572811296,7.462729072438901,1.2675283217474176,0.0732960470217778,0.0896354689357198,0.8293477857331416,4152,0.0190645826108005,164520,24,296.8203990459442,42
cmat_tab,4,2018-01-01,180,1173.110981267853,954.8780265911008,7.531280268880991,1.23531635046153,0.0731304000037027,0.0898440145440601,0.8525520035201835,4152,0.0238622753365055,164520,24,359.8813755512237,42
cmat_tab,5,2019-01-01,180,1442.3325198255363,1097.4428442741582,9.695131886754403,1.563729927613979,0.0902020452088862,0.118549538901589,0.7929025345513557,4151,0.0182246583129615,164520,24,424.3350028991699,42
cmat_tab,6,2020-01-01,180,1449.242589934115,1018.9938836039132,8.992130780496357,1.2895502414777396,0.0845998267062937,0.1203203217767926,0.7940390646390214,4151,0.019579666501118,164520,24,481.6335389614105,42
cmat_tab,7,2021-01-01,180,3297.779744382342,2599.2250048463475,24.417390694830765,3.092420624016728,0.2268100709224003,0.2877664135714292,0.6225516518217763,4151,0.0255026789485965,164520,24,543.1738932132721,42
cmat_tab,8,2022-01-01,180,1188.8404324038029,844.112456194667,7.406571795069196,1.1616239331222622,0.0700193986641773,0.0986146947289897,0.7299325549448038,4151,0.037368799937148,164520,24,607.556432723999,42
cmat_tab,9,2023-01-01,180,1006.7296960392736,797.6808423892586,6.012447460997268,1.096148339716896,0.0614372591713022,0.0775381706118859,0.858963176220589,4151,0.0183391682872874,164520,24,666.4183964729309,42
cmat_tab,10,2024-01-01,180,1118.427065435222,873.4414307111031,6.6266811558292975,1.271162093561912,0.0663004633269642,0.0848966284727322,0.8534457183360734,4152,0.0124982069401691,164520,24,727.0785429477692,42
cmat_tab,0,2014-01-01,60,1541.0767738985985,1300.046315319133,9.208602441479895,1.7923155457930895,0.0931178428674328,0.1103820249998658,0.939134356777076,1272,0.0121598203863851,425512,30,130.1634922027588,123
cmat_tab,1,2015-01-01,60,728.859307771957,606.6156197793829,4.423561516626393,0.7988952358831038,0.0434120036774231,0.0521602839056925,0.9510870177258236,1272,0.0165520148407183,425512,26,163.72894310951233,123
cmat_tab,2,2016-01-01,60,1125.3677709383733,999.519216477496,7.128178069562558,1.3266938182958197,0.0699005721221611,0.078701689511944,0.9660178530120802,1272,0.0162967335743208,425512,24,200.5138614177704,123
cmat_tab,3,2017-01-01,60,1971.7320555926665,1804.0409810767983,12.609572712366788,2.59340125346152,0.1251494875641416,0.1367825115723959,0.920002406653568,1272,0.0170410380743748,425512,24,247.2951321601868,123
cmat_tab,4,2018-01-01,60,1142.524870942687,887.332888045401,6.539508013677922,1.1498499268160198,0.0618992546150442,0.0797011345384546,0.9186834777206928,1272,0.0339730662193329,425512,31,385.5180323123932,123
cmat_tab,5,2019-01-01,60,633.5695298549323,440.49868025869694,3.084269393977052,0.6249988641427816,0.0317345939547562,0.0456438865157193,0.9703361577568304,1272,0.0205476119089525,425512,31,449.1409397125244,123
cmat_tab,6,2020-01-01,60,1151.3717041119255,843.457805129717,6.759462979452657,1.1263819378338389,0.0628586736629814,0.085805949951974,0.8743168550025432,1272,0.0237976002334444,425512,24,390.6379055976868,123
cmat_tab,7,2021-01-01,60,2624.685843060049,2317.4561921125687,18.068372890308105,2.960610290705669,0.1772184055869594,0.2007125924782841,0.8458263224135335,1272,0.0245991165292722,425512,24,442.6225972175598,123
cmat_tab,8,2022-01-01,60,1294.8761313513912,994.4951287035672,7.782824300542124,1.292979532494862,0.0796546461373721,0.103713831327643,0.81135669217382,1272,0.026463715807919,425512,28,575.6677491664886,123
cmat_tab,9,2023-01-01,60,1099.7693389847857,828.922297255798,5.547655789211606,1.111944957744792,0.0573358106257534,0.0760700571824323,0.8840447967679097,1272,0.0165292363056435,425512,24,538.3088676929474,123
cmat_tab,10,2024-01-01,60,1338.5630989100505,1175.2604020796482,7.749375572929042,1.3825732970970026,0.0783208216007007,0.0892035173528379,0.9333739880715716,1272,0.0108467653635199,425512,24,582.8228716850281,123
cmat_tab,0,2014-01-01,120,901.83308723259,741.5915355463137,5.658451412652299,1.067025942830301,0.0556784184886,0.0677092949838104,0.924697470621283,2784,0.0173403599825292,623712,30,149.6790807247162,123
cmat_tab,1,2015-01-01,120,972.8493199996684,799.8444066540949,6.137379071317576,1.1042032221022169,0.0604237706911691,0.0734933241261528,0.914883498942118,2784,0.0143289552980903,623712,24,174.0652723312378,123
cmat_tab,2,2016-01-01,120,1226.4398307323218,996.0464880932336,7.51731969857698,1.2908748117690405,0.0741220439014055,0.0912670523541512,0.8767498441423844,2784,0.0168930127384716,623712,24,233.0343723297119,123
cmat_tab,3,2017-01-01,120,1354.2852918905182,1123.397709287446,8.294317958354567,1.445959263086805,0.0813299008512201,0.0980453205513336,0.8765509937894942,2784,0.0186665568576362,623712,24,288.4466440677643,123
cmat_tab,4,2018-01-01,120,1399.349942662419,1182.7547537266523,8.678533186239923,1.5236752518621233,0.0871630416614905,0.1031250113068475,0.8530723530618494,2784,0.0223083207813328,623712,24,354.05280804634094,123
cmat_tab,5,2019-01-01,120,1148.961702732445,793.3483485812297,6.791345704709919,1.1256048664120766,0.0622172718821836,0.0901057685050464,0.857837481074671,2783,0.0158672902880861,623712,24,406.29356956481934,123
cmat_tab,6,2020-01-01,120,1652.8495297283969,1167.8890829576335,9.806738246252936,1.6033201529405032,0.0927210669507752,0.1312230537487295,0.8081455756652473,2783,0.0217419806337121,623712,24,468.0686318874359,123
cmat_tab,7,2021-01-01,120,1884.9160511692244,1453.7582814815958,12.668845198678072,1.807089188135964,0.1207492090048129,0.156561187040805,0.454375511331383,2783,0.0283296460378571,623712,28,612.0194714069366,123
cmat_tab,8,2022-01-01,120,1322.7139996051808,995.4891216622126,8.460032210898673,1.2793229186378807,0.0822523614062972,0.1092893408528986,0.6862417094125899,2783,0.0329385956996756,623712,24,581.6004297733307,123
cmat_tab,9,2023-01-01,120,1141.4307625161266,942.0301576395752,6.90236961126573,1.2286931424864718,0.0696272256188039,0.0843653003945136,0.886310681492427,2783,0.0153123269294048,623712,28,744.7960193157196,123
cmat_tab,10,2024-01-01,120,1219.2984323573514,987.5977071126302,7.223264072755146,1.3216339817789065,0.0717809777291357,0.0886215439625678,0.8463754389096039,2784,0.0135908307891119,623712,24,700.1489915847778,123
cmat_tab,0,2014-01-01,180,1381.1190275857068,1182.4204427318537,9.331098274128411,1.618686165810323,0.0915745341862662,0.1069630793212122,0.9196700323384872,4152,0.0128509324618708,164520,32,149.86269807815552,123
cmat_tab,1,2015-01-01,180,1381.765021158042,1167.579728260665,9.054987779294164,1.5722337776552775,0.0904175891378257,0.1070041376567945,0.8931179917391807,4152,0.021341240570143,164520,28,202.06524658203125,123
cmat_tab,2,2016-01-01,180,2284.9519562047985,1767.2167303125752,13.328054844073623,2.2266927241819268,0.1340775789334544,0.1733578123227775,0.796054657230928,4152,0.0243917741950739,164520,24,232.5998318195343,123
cmat_tab,3,2017-01-01,180,1240.785375125718,985.050570272986,7.178054409884164,1.2702504033951594,0.0734534540169721,0.0925231396713683,0.8635330814761825,4152,0.0339926998511815,164520,50,612.39129114151,123
cmat_tab,4,2018-01-01,180,1742.9578594900318,1380.0912559082972,10.287917510529418,1.785410540484204,0.1056958300176753,0.1334863740755928,0.7024277527125751,4152,0.0312216136133692,164520,24,361.72365069389343,123
cmat_tab,5,2019-01-01,180,1464.865411949173,1100.412897847469,9.649833442193836,1.5679619126175122,0.0904461626206406,0.120401583374454,0.7555939569357958,4151,0.0244801679563788,164520,31,545.1895923614502,123
cmat_tab,6,2020-01-01,180,1700.345048773983,1242.535500787649,11.151355787512331,1.572445115586387,0.1031588999055394,0.1411675759607387,0.6745307740661,4151,0.0251305841150935,164520,24,479.4593024253845,123
cmat_tab,7,2021-01-01,180,3751.647440458169,2986.462442455508,28.26751062981254,3.5531352740455526,0.2606006625503591,0.3273712050552008,0.5471699787363331,4151,0.0280511822312599,164520,24,542.2666101455688,123
cmat_tab,8,2022-01-01,180,1387.7728225200754,1017.5644637116808,8.7465819635782,1.400319620765805,0.0844072982554076,0.1151162002198134,0.605108477751754,4151,0.0680878657058269,164520,33,828.4545407295227,123
