feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
load_lag_1w,11,816.6554325614894,1451.6312117349303,21.152404453162266,634.9757791734409,0.9572226259809645,0.8605242778481308,0.006393209668275072,0.09669834813283373
dow_cos,3,816.6554325614894,1359.7254778568044,33.45193573005762,543.070045295315,0.9572226259809645,0.8492554371336153,0.00920356826814812,0.10796718884734924
load_lag_24h,10,816.6554325614894,1188.1376821949902,16.525067230955337,371.4822496335008,0.9572226259809645,0.9184652791192789,0.00267368091108341,0.03875734686168564
hour_cos,1,816.6554325614894,1016.7335530254844,14.006379744319407,200.078120463995,0.9572226259809645,0.9461415305170284,0.0021575496030326134,0.011081095463936097
hour_sin,0,816.6554325614894,961.8916492208613,7.017420289009031,145.23621665937185,0.9572226259809645,0.9425307421524941,0.0009672542074161148,0.01469188382847042
load_lag_1y,12,816.6554325614894,901.5348345488285,7.4179524818090306,84.87940198733907,0.9572226259809645,0.9558467111632499,0.0003740470066269949,0.0013759148177145963
dow_sin,2,816.6554325614894,885.9963050767074,11.470904178003646,69.34087251521794,0.9572226259809645,0.9521233836744359,0.0015142514206375867,0.005099242306528584
month_sin,4,816.6554325614894,829.394436235301,1.9231118075875548,12.739003673811567,0.9572226259809645,0.9565463584159246,0.0002788372580940415,0.0006762675650399119
week_of_year,7,816.6554325614894,819.900539760158,2.215489604918279,3.24510719866862,0.9572226259809645,0.9572899430181895,0.000227634996045235,-6.731703722495652e-05
pca_cbs_knmi_full_07,22,816.6554325614894,819.1172794764432,1.4294470966740962,2.461846914953753,0.9572226259809645,0.9576098121803108,0.00016202071410379598,-0.00038718619934630105
pca_cbs_knmi_full_15,30,816.6554325614894,818.8896896425066,0.6246322966517672,2.2342570810171765,0.9572226259809645,0.9568319556617999,8.356857693436526e-05,0.00039067031916462103
pca_cbs_knmi_full_08,23,816.6554325614894,818.7944650235971,0.25371638358893595,2.139032462107707,0.9572226259809645,0.9567885228685158,4.814202281081518e-05,0.000434103112448736
pca_cbs_knmi_full_14,29,816.6554325614894,817.91493045656,0.6307474879641917,1.2594978950705809,0.9572226259809645,0.9570495967756125,9.094188694200112e-05,0.0001730292053520044
pca_cbs_knmi_full_11,26,816.6554325614894,817.6800863384549,0.6741010084496482,1.0246537769654651,0.9572226259809645,0.9569859748160731,8.418631079046045e-05,0.00023665116489146598
day_of_year,6,816.6554325614894,817.3385058456531,0.6368535297804774,0.6830732841636973,0.9572226259809645,0.9571552399322234,8.224548721415346e-05,6.738604874112486e-05
humidity_lag_12h,14,816.6554325614894,817.0297021562925,0.8862163879015901,0.3742695948030814,0.9572226259809645,0.9570429149658018,8.371196270932294e-05,0.00017971101516267574
quarter,8,816.6554325614894,816.7905801233703,0.12268698230856209,0.13514756188089905,0.9572226259809645,0.9572096052476642,1.369788871111732e-05,1.3020733300339593e-05
pca_cbs_knmi_full_03,18,816.6554325614894,816.7152675729619,0.17676683280647934,0.05983501147250081,0.9572226259809645,0.9572152642001873,2.402445094939226e-05,7.361780777204174e-06
pca_cbs_knmi_full_01,16,816.6554325614894,816.6821638777893,0.041915293606113124,0.026731316299901664,0.9572226259809645,0.9572305968427844,2.621454035756148e-06,-7.970861819917019e-06
month_cos,5,816.6554325614894,816.6447745490204,0.9084007358611191,-0.010658012468979905,0.9572226259809645,0.9566694112298364,0.00013022470167923337,0.0005532147511281282
pca_cbs_knmi_full_02,17,816.6554325614894,816.5975241915428,0.07776499004927162,-0.057908369946630955,0.9572226259809645,0.9572311956994252,1.20559661677998e-05,-8.569718460638143e-06
pca_cbs_knmi_full_12,27,816.6554325614894,816.5012020050997,0.1640518958820178,-0.15423055638973437,0.9572226259809645,0.9572741857139704,3.131331785446757e-05,-5.1559733005857034e-05
load_lag_12h,9,816.6554325614894,816.2852069774963,4.475235488580232,-0.37022558399314676,0.9572226259809645,0.9559378902734414,0.0005520803074154853,0.001284735707523077
pca_cbs_knmi_full_13,28,816.6554325614894,816.189280432123,0.40178057962516256,-0.4661521293663782,0.9572226259809645,0.9572480796602891,5.9081458772641024e-05,-2.5453679324605183e-05
pca_cbs_knmi_full_05,20,816.6554325614894,816.0496550330765,0.16872215924160625,-0.6057775284128866,0.9572226259809645,0.9573126845787326,2.3340822887787736e-05,-9.005859776811675e-05
