model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,7,2015-01-01,180,4320,13220,4320,3103.38,2648.88,20.44,3.617,0.2048,0.2399,-0.1458,4320,8758,132.64,1.39,18,134.8
ashtar_seq2seq,1,7,2016-02-01,180,4320,22722,4320,1837.26,1436.28,11.62,1.9829,0.113,0.1446,0.5604,4320,8758,234.08,1.05,19,236.0
ashtar_seq2seq,2,7,2017-03-01,180,4320,32176,4320,2077.25,1679.61,13.97,2.1466,0.1338,0.1654,0.529,4320,8760,233.08,0.89,19,235.0
ashtar_seq2seq,3,7,2018-04-01,180,4320,41680,4320,1136.67,911.65,7.0,1.1563,0.072,0.0897,0.7527,4320,8760,276.85,0.89,19,279.0
ashtar_seq2seq,4,7,2019-05-01,180,4320,51160,4320,2315.71,1842.36,15.39,2.4741,0.1492,0.1875,0.2406,4320,8760,272.48,0.89,19,274.9
ashtar_seq2seq,5,7,2020-06-01,180,4320,60664,4320,1989.62,1609.59,14.13,2.2618,0.1339,0.1655,0.5844,4320,8783,350.53,0.89,19,353.2
ashtar_seq2seq,6,7,2021-07-01,180,4320,70167,4320,1936.03,1462.5,12.38,2.0593,0.1201,0.159,0.4249,4320,8759,374.4,0.89,19,377.4
ashtar_seq2seq,7,7,2022-08-01,180,4320,79670,4320,3121.59,2473.27,21.88,3.3237,0.2102,0.2653,0.2648,4320,8759,363.77,0.9,19,367.0
ashtar_seq2seq,8,7,2023-09-01,180,4320,89165,4320,2320.58,1921.4,13.5,2.174,0.1404,0.1695,0.4956,4320,8759,282.78,0.9,19,286.2
ashtar_seq2seq,9,7,2024-10-01,180,4320,98644,4320,3009.67,2490.14,16.79,3.29,0.1756,0.2123,0.348,4320,8783,261.42,0.9,19,265.1
