model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,42,2015-01-01,120,2880,14660,2880,2273.52,1867.32,14.37,2.6199,0.1404,0.171,0.5489,2880,8758,179.95,0.63,18,181.2
ashtar_seq2seq,2,42,2017-03-01,120,2880,33616,2880,1520.79,1169.62,9.54,1.434,0.0921,0.1198,0.6199,2880,8760,259.63,0.63,19,261.4
ashtar_seq2seq,3,42,2018-04-01,120,2880,43120,2880,2110.79,1658.78,13.68,2.0272,0.1304,0.166,0.4763,2880,8760,256.45,0.62,19,258.4
ashtar_seq2seq,4,42,2019-05-01,120,2880,52600,2880,2632.48,2066.41,17.94,2.767,0.1699,0.2165,0.1522,2880,8760,164.68,0.62,19,166.9
ashtar_seq2seq,5,42,2020-06-01,120,2880,62104,2880,1843.85,1504.23,13.42,2.0271,0.1294,0.1586,0.27,2880,8783,295.05,0.62,19,297.5
ashtar_seq2seq,6,42,2021-07-01,120,2880,71607,2880,1880.75,1439.97,12.99,2.0144,0.1242,0.1622,0.318,2880,8759,346.48,0.63,19,349.2
ashtar_seq2seq,7,42,2022-08-01,120,2880,81110,2880,1972.36,1492.53,14.37,1.9038,0.1336,0.1765,0.3971,2880,8759,545.13,0.64,19,548.1
ashtar_seq2seq,8,42,2023-09-01,120,2880,90607,2880,3752.47,3020.7,21.17,3.2155,0.2259,0.2806,0.1517,2880,8759,359.03,0.63,19,362.2
ashtar_seq2seq,9,42,2024-10-01,120,2880,100084,2880,2859.28,2267.99,15.31,3.0585,0.1587,0.2001,0.4591,2880,8783,339.08,0.63,19,342.5
ashtar_seq2seq,1,42,2016-02-01,120,2880,24162,2880,6625.63,5330.71,44.55,7.343,0.4182,0.5197,0.0527,2880,8758,163.75,0.63,19,165.2
